"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Blacktown LGA, Persons, 2011 and 2016, All ages, , ,"312,346","347,591", , , , 
 Blacktown LGA, Persons, 2016 and 2021*, 0-14, , , ,"79,743","89,728", , , 
 Blacktown LGA, Persons, 2016 and 2021*, 15-44, , , ,"156,434","165,513", , , 
 Blacktown LGA, Persons, 2016 and 2021*, 45-64, , , ,"76,457","86,078", , , 
 Blacktown LGA, Persons, 2016 and 2021*, 65+, , , ,"34,957","45,871", , , 
 Blacktown LGA, Persons, 2016 and 2021*, All ages, , , ,"347,591","387,190", , , 
 Blacktown LGA, Persons, 2016 and 2026*, 0-14, , , ,"79,743", ,"99,594", , 
 Blacktown LGA, Persons, 2016 and 2026*, 15-44, , , ,"156,434", ,"181,650", , 
 Blacktown LGA, Persons, 2016 and 2026*, 45-64, , , ,"76,457", ,"96,096", , 
 Blacktown LGA, Persons, 2016 and 2026*, 65+, , , ,"34,957", ,"56,183", , 
 Blacktown LGA, Persons, 2016 and 2026*, All ages, , , ,"347,591", ,"433,524", , 
 Blacktown LGA, Persons, 2016 and 2031*, 0-14, , , ,"79,743", , ,"107,348", 
 Blacktown LGA, Persons, 2016 and 2031*, 15-44, , , ,"156,434", , ,"194,545", 
 Blacktown LGA, Persons, 2016 and 2031*, 45-64, , , ,"76,457", , ,"107,258", 
 Blacktown LGA, Persons, 2016 and 2031*, 65+, , , ,"34,957", , ,"66,634", 
 Blacktown LGA, Persons, 2016 and 2031*, All ages, , , ,"347,591", , ,"475,785", 
 Blacktown LGA, Persons, 2016 and 2036*, 0-14, , , ,"79,743", , , ,"114,791"
 Blacktown LGA, Persons, 2016 and 2036*, 15-44, , , ,"156,434", , , ,"210,310"
 Blacktown LGA, Persons, 2016 and 2036*, 45-64, , , ,"76,457", , , ,"119,066"
 Blacktown LGA, Persons, 2016 and 2036*, 65+, , , ,"34,957", , , ,"77,260"
 Blacktown LGA, Persons, 2016 and 2036*, All ages, , , ,"347,591", , , ,"521,427"
 Bland LGA, Persons, 2001 and 2016, 0-14,"1,521", , ,"1,264", , , , 
 Bland LGA, Persons, 2001 and 2016, 15-44,"2,404", , ,"1,964", , , , 
 Bland LGA, Persons, 2001 and 2016, 45-64,"1,588", , ,"1,564", , , , 
 Bland LGA, Persons, 2001 and 2016, 65+,"1,090", , ,"1,239", , , , 
 Bland LGA, Persons, 2001 and 2016, All ages,"6,603", , ,"6,031", , , , 
 Bland LGA, Persons, 2006 and 2016, 0-14, ,"1,381", ,"1,264", , , , 
 Bland LGA, Persons, 2006 and 2016, 15-44, ,"2,150", ,"1,964", , , , 
 Bland LGA, Persons, 2006 and 2016, 45-64, ,"1,622", ,"1,564", , , , 
 Bland LGA, Persons, 2006 and 2016, 65+, ,"1,059", ,"1,239", , , , 
 Bland LGA, Persons, 2006 and 2016, All ages, ,"6,212", ,"6,031", , , , 
 Bland LGA, Persons, 2011 and 2016, 0-14, , ,"1,324","1,264", , , , 
 Bland LGA, Persons, 2011 and 2016, 15-44, , ,"1,961","1,964", , , , 
 Bland LGA, Persons, 2011 and 2016, 45-64, , ,"1,594","1,564", , , , 
 Bland LGA, Persons, 2011 and 2016, 65+, , ,"1,142","1,239", , , , 
 Bland LGA, Persons, 2011 and 2016, All ages, , ,"6,021","6,031", , , , 
 Bland LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,264","1,275", , , 
 Bland LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,964","1,718", , , 
 Bland LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,564","1,423", , , 
 Bland LGA, Persons, 2016 and 2021*, 65+, , , ,"1,239","1,197", , , 
 Bland LGA, Persons, 2016 and 2021*, All ages, , , ,"6,031","5,612", , , 
 Bland LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,264", ,"1,185", , 
 Bland LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,964", ,"1,648", , 
 Bland LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,564", ,"1,281", , 
 Bland LGA, Persons, 2016 and 2026*, 65+, , , ,"1,239", ,"1,252", , 
 Bland LGA, Persons, 2016 and 2026*, All ages, , , ,"6,031", ,"5,365", , 
 Bland LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,264", , ,"1,102", 
 Bland LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,964", , ,"1,526", 
 Bland LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,564", , ,"1,214", 
 Bland LGA, Persons, 2016 and 2031*, 65+, , , ,"1,239", , ,"1,259", 
 Bland LGA, Persons, 2016 and 2031*, All ages, , , ,"6,031", , ,"5,101", 
 Bland LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,264", , , ,"1,025"
 Bland LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,964", , , ,"1,398"
 Bland LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,564", , , ,"1,184"
 Bland LGA, Persons, 2016 and 2036*, 65+, , , ,"1,239", , , ,"1,220"
 Bland LGA, Persons, 2016 and 2036*, All ages, , , ,"6,031", , , ,"4,828"
 Blayney LGA, Persons, 2001 and 2016, 0-14,"1,531", , ,"1,588", , , , 
 Blayney LGA, Persons, 2001 and 2016, 15-44,"2,425", , ,"2,467", , , , 
 Blayney LGA, Persons, 2001 and 2016, 45-64,"1,644", , ,"2,041", , , , 
 Blayney LGA, Persons, 2001 and 2016, 65+,878, , ,"1,322", , , , 
 Blayney LGA, Persons, 2001 and 2016, All ages,"6,478", , ,"7,418", , , , 
 Blayney LGA, Persons, 2006 and 2016, 0-14, ,"1,497", ,"1,588", , , , 
 Blayney LGA, Persons, 2006 and 2016, 15-44, ,"2,426", ,"2,467", , , , 
 Blayney LGA, Persons, 2006 and 2016, 45-64, ,"1,804", ,"2,041", , , , 
 Blayney LGA, Persons, 2006 and 2016, 65+, ,"1,014", ,"1,322", , , , 
 Blayney LGA, Persons, 2006 and 2016, All ages, ,"6,741", ,"7,418", , , , 
 Blayney LGA, Persons, 2011 and 2016, 0-14, , ,"1,602","1,588", , , , 
 Blayney LGA, Persons, 2011 and 2016, 15-44, , ,"2,473","2,467", , , , 
 Blayney LGA, Persons, 2011 and 2016, 45-64, , ,"1,941","2,041", , , , 
 Blayney LGA, Persons, 2011 and 2016, 65+, , ,"1,201","1,322", , , , 
 Blayney LGA, Persons, 2011 and 2016, All ages, , ,"7,217","7,418", , , , 
 Blayney LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,588","1,675", , , 
 Blayney LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,467","2,477", , , 
 Blayney LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,041","1,912", , , 
 Blayney LGA, Persons, 2016 and 2021*, 65+, , , ,"1,322","1,544", , , 
 Blayney LGA, Persons, 2016 and 2021*, All ages, , , ,"7,418","7,609", , , 
 Blayney LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,588", ,"1,695", , 
 Blayney LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,467", ,"2,561", , 
 Blayney LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,041", ,"1,833", , 
 Blayney LGA, Persons, 2016 and 2026*, 65+, , , ,"1,322", ,"1,672", , 
 Blayney LGA, Persons, 2016 and 2026*, All ages, , , ,"7,418", ,"7,761", , 
 Blayney LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,588", , ,"1,727", 
 Blayney LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,467", , ,"2,573", 
 Blayney LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,041", , ,"1,779", 
 Blayney LGA, Persons, 2016 and 2031*, 65+, , , ,"1,322", , ,"1,813", 
 Blayney LGA, Persons, 2016 and 2031*, All ages, , , ,"7,418", , ,"7,893", 
 Blayney LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,588", , , ,"1,746"
 Blayney LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,467", , , ,"2,548"
 Blayney LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,041", , , ,"1,792"
 Blayney LGA, Persons, 2016 and 2036*, 65+, , , ,"1,322", , , ,"1,919"
 Blayney LGA, Persons, 2016 and 2036*, All ages, , , ,"7,418", , , ,"8,005"
 Blue Mountains LGA, Persons, 2001 and 2016, 0-14,"16,391", , ,"14,706", , , , 
 Blue Mountains LGA, Persons, 2001 and 2016, 15-44,"30,974", , ,"26,370", , , , 
 Blue Mountains LGA, Persons, 2001 and 2016, 45-64,"19,744", , ,"22,828", , , , 
 Blue Mountains LGA, Persons, 2001 and 2016, 65+,"9,419", , ,"14,801", , , , 
 Blue Mountains LGA, Persons, 2001 and 2016, All ages,"76,528", , ,"78,705", , , , 
 Blue Mountains LGA, Persons, 2006 and 2016, 0-14, ,"15,249", ,"14,706", , , , 
 Blue Mountains LGA, Persons, 2006 and 2016, 15-44, ,"28,690", ,"26,370", , , , 
 Blue Mountains LGA, Persons, 2006 and 2016, 45-64, ,"21,722", ,"22,828", , , , 
 Blue Mountains LGA, Persons, 2006 and 2016, 65+, ,"9,939", ,"14,801", , , , 
 Blue Mountains LGA, Persons, 2006 and 2016, All ages, ,"75,600", ,"78,705", , , , 
 Blue Mountains LGA, Persons, 2011 and 2016, 0-14, , ,"15,110","14,706", , , , 
 Blue Mountains LGA, Persons, 2011 and 2016, 15-44, , ,"27,730","26,370", , , , 
 Blue Mountains LGA, Persons, 2011 and 2016, 45-64, , ,"23,629","22,828", , , , 
 Blue Mountains LGA, Persons, 2011 and 2016, 65+, , ,"12,084","14,801", , , , 
 Blue Mountains LGA, Persons, 2011 and 2016, All ages, , ,"78,553","78,705", , , , 
 Blue Mountains LGA, Persons, 2016 and 2021*, 0-14, , , ,"14,706","15,615", , , 
 Blue Mountains LGA, Persons, 2016 and 2021*, 15-44, , , ,"26,370","26,222", , , 
 Blue Mountains LGA, Persons, 2016 and 2021*, 45-64, , , ,"22,828","23,222", , , 
 Blue Mountains LGA, Persons, 2016 and 2021*, 65+, , , ,"14,801","17,936", , , 
 Blue Mountains LGA, Persons, 2016 and 2021*, All ages, , , ,"78,705","82,995", , , 
 Blue Mountains LGA, Persons, 2016 and 2026*, 0-14, , , ,"14,706", ,"15,757", , 
 Blue Mountains LGA, Persons, 2016 and 2026*, 15-44, , , ,"26,370", ,"26,012", , 
 Blue Mountains LGA, Persons, 2016 and 2026*, 45-64, , , ,"22,828", ,"22,475", , 
 Blue Mountains LGA, Persons, 2016 and 2026*, 65+, , , ,"14,801", ,"20,444", , 
 Blue Mountains LGA, Persons, 2016 and 2026*, All ages, , , ,"78,705", ,"84,687", , 
 Blue Mountains LGA, Persons, 2016 and 2031*, 0-14, , , ,"14,706", , ,"15,821", 
 Blue Mountains LGA, Persons, 2016 and 2031*, 15-44, , , ,"26,370", , ,"26,087", 
 Blue Mountains LGA, Persons, 2016 and 2031*, 45-64, , , ,"22,828", , ,"22,666", 
 Blue Mountains LGA, Persons, 2016 and 2031*, 65+, , , ,"14,801", , ,"22,365", 
 Blue Mountains LGA, Persons, 2016 and 2031*, All ages, , , ,"78,705", , ,"86,939", 
 Blue Mountains LGA, Persons, 2016 and 2036*, 0-14, , , ,"14,706", , , ,"16,009"
 Blue Mountains LGA, Persons, 2016 and 2036*, 15-44, , , ,"26,370", , , ,"26,976"
 Blue Mountains LGA, Persons, 2016 and 2036*, 45-64, , , ,"22,828", , , ,"23,263"
 Blue Mountains LGA, Persons, 2016 and 2036*, 65+, , , ,"14,801", , , ,"24,177"
 Blue Mountains LGA, Persons, 2016 and 2036*, All ages, , , ,"78,705", , , ,"90,425"
 Bogan LGA, Persons, 2001 and 2016, 0-14,793, , ,560, , , , 
 Bogan LGA, Persons, 2001 and 2016, 15-44,"1,175", , ,998, , , , 
 Bogan LGA, Persons, 2001 and 2016, 45-64,765, , ,675, , , , 
 Bogan LGA, Persons, 2001 and 2016, 65+,423, , ,535, , , , 
 Bogan LGA, Persons, 2001 and 2016, All ages,"3,156", , ,"2,768", , , , 
 Bogan LGA, Persons, 2006 and 2016, 0-14, ,691, ,560, , , , 
 Bogan LGA, Persons, 2006 and 2016, 15-44, ,"1,065", ,998, , , , 
 Bogan LGA, Persons, 2006 and 2016, 45-64, ,722, ,675, , , , 
 Bogan LGA, Persons, 2006 and 2016, 65+, ,461, ,535, , , , 
 Bogan LGA, Persons, 2006 and 2016, All ages, ,"2,939", ,"2,768", , , , 
 Bogan LGA, Persons, 2011 and 2016, 0-14, , ,694,560, , , , 
 Bogan LGA, Persons, 2011 and 2016, 15-44, , ,"1,107",998, , , , 
 Bogan LGA, Persons, 2011 and 2016, 45-64, , ,686,675, , , , 
 Bogan LGA, Persons, 2011 and 2016, 65+, , ,522,535, , , , 
 Bogan LGA, Persons, 2011 and 2016, All ages, , ,"3,009","2,768", , , , 
 Bogan LGA, Persons, 2016 and 2021*, 0-14, , , ,560,675, , , 
 Bogan LGA, Persons, 2016 and 2021*, 15-44, , , ,998,937, , , 
 Bogan LGA, Persons, 2016 and 2021*, 45-64, , , ,675,775, , , 
 Bogan LGA, Persons, 2016 and 2021*, 65+, , , ,535,592, , , 
 Bogan LGA, Persons, 2016 and 2021*, All ages, , , ,"2,768","2,979", , , 
 Bogan LGA, Persons, 2016 and 2026*, 0-14, , , ,560, ,663, , 
 Bogan LGA, Persons, 2016 and 2026*, 15-44, , , ,998, ,948, , 
 Bogan LGA, Persons, 2016 and 2026*, 45-64, , , ,675, ,747, , 
 Bogan LGA, Persons, 2016 and 2026*, 65+, , , ,535, ,640, , 
 Bogan LGA, Persons, 2016 and 2026*, All ages, , , ,"2,768", ,"2,998", , 
 Bogan LGA, Persons, 2016 and 2031*, 0-14, , , ,560, , ,653, 
 Bogan LGA, Persons, 2016 and 2031*, 15-44, , , ,998, , ,955, 
 Bogan LGA, Persons, 2016 and 2031*, 45-64, , , ,675, , ,729, 
 Bogan LGA, Persons, 2016 and 2031*, 65+, , , ,535, , ,694, 
 Bogan LGA, Persons, 2016 and 2031*, All ages, , , ,"2,768", , ,"3,031", 
 Bogan LGA, Persons, 2016 and 2036*, 0-14, , , ,560, , , ,658
 Bogan LGA, Persons, 2016 and 2036*, 15-44, , , ,998, , , ,947
 Bogan LGA, Persons, 2016 and 2036*, 45-64, , , ,675, , , ,721
 Bogan LGA, Persons, 2016 and 2036*, 65+, , , ,535, , , ,755
 Bogan LGA, Persons, 2016 and 2036*, All ages, , , ,"2,768", , , ,"3,081"
 Botany Bay LGA, Persons, 2001 and 2016, 0-14,"6,684", , ,"8,353", , , , 
 Botany Bay LGA, Persons, 2001 and 2016, 15-44,"16,754", , ,"23,823", , , , 
 Botany Bay LGA, Persons, 2001 and 2016, 45-64,"8,584", , ,"10,665", , , , 
 Botany Bay LGA, Persons, 2001 and 2016, 65+,"4,944", , ,"6,217", , , , 
 Botany Bay LGA, Persons, 2001 and 2016, All ages,"36,966", , ,"49,058", , , , 
 Botany Bay LGA, Persons, 2006 and 2016, 0-14, ,"6,714", ,"8,353", , , , 
 Botany Bay LGA, Persons, 2006 and 2016, 15-44, ,"16,633", ,"23,823", , , , 
 Botany Bay LGA, Persons, 2006 and 2016, 45-64, ,"8,841", ,"10,665", , , , 
 Botany Bay LGA, Persons, 2006 and 2016, 65+, ,"5,265", ,"6,217", , , , 
 Botany Bay LGA, Persons, 2006 and 2016, All ages, ,"37,453", ,"49,058", , , , 
 Botany Bay LGA, Persons, 2011 and 2016, 0-14, , ,"7,414","8,353", , , , 
 Botany Bay LGA, Persons, 2011 and 2016, 15-44, , ,"18,618","23,823", , , , 
 Botany Bay LGA, Persons, 2011 and 2016, 45-64, , ,"9,576","10,665", , , , 
 Botany Bay LGA, Persons, 2011 and 2016, 65+, , ,"5,896","6,217", , , , 
 Botany Bay LGA, Persons, 2011 and 2016, All ages, , ,"41,504","49,058", , , , 
 Botany Bay LGA, Persons, 2016 and 2021*, 0-14, , , ,"8,353","11,010", , , 
 Botany Bay LGA, Persons, 2016 and 2021*, 15-44, , , ,"23,823","26,809", , , 
 Botany Bay LGA, Persons, 2016 and 2021*, 45-64, , , ,"10,665","13,005", , , 
 Botany Bay LGA, Persons, 2016 and 2021*, 65+, , , ,"6,217","8,496", , , 
 Botany Bay LGA, Persons, 2016 and 2021*, All ages, , , ,"49,058","59,320", , , 
 Botany Bay LGA, Persons, 2016 and 2026*, 0-14, , , ,"8,353", ,"12,417", , 
 Botany Bay LGA, Persons, 2016 and 2026*, 15-44, , , ,"23,823", ,"27,952", , 
 Botany Bay LGA, Persons, 2016 and 2026*, 45-64, , , ,"10,665", ,"14,768", , 
 Botany Bay LGA, Persons, 2016 and 2026*, 65+, , , ,"6,217", ,"9,869", , 
 Botany Bay LGA, Persons, 2016 and 2026*, All ages, , , ,"49,058", ,"65,006", , 
 Botany Bay LGA, Persons, 2016 and 2031*, 0-14, , , ,"8,353", , ,"13,010", 
 Botany Bay LGA, Persons, 2016 and 2031*, 15-44, , , ,"23,823", , ,"27,952", 
 Botany Bay LGA, Persons, 2016 and 2031*, 45-64, , , ,"10,665", , ,"16,700", 
 Botany Bay LGA, Persons, 2016 and 2031*, 65+, , , ,"6,217", , ,"11,288", 
 Botany Bay LGA, Persons, 2016 and 2031*, All ages, , , ,"49,058", , ,"68,950", 
 Botany Bay LGA, Persons, 2016 and 2036*, 0-14, , , ,"8,353", , , ,"13,183"
 Botany Bay LGA, Persons, 2016 and 2036*, 15-44, , , ,"23,823", , , ,"28,487"
 Botany Bay LGA, Persons, 2016 and 2036*, 45-64, , , ,"10,665", , , ,"18,230"
 Botany Bay LGA, Persons, 2016 and 2036*, 65+, , , ,"6,217", , , ,"12,809"
 Botany Bay LGA, Persons, 2016 and 2036*, All ages, , , ,"49,058", , , ,"72,709"
 Bourke LGA, Persons, 2001 and 2016, 0-14,"1,107", , ,633, , , , 
 Bourke LGA, Persons, 2001 and 2016, 15-44,"1,707", , ,"1,033", , , , 
 Bourke LGA, Persons, 2001 and 2016, 45-64,770, , ,741, , , , 
 Bourke LGA, Persons, 2001 and 2016, 65+,335, , ,380, , , , 
 Bourke LGA, Persons, 2001 and 2016, All ages,"3,919", , ,"2,787", , , , 
 Bourke LGA, Persons, 2006 and 2016, 0-14, ,824, ,633, , , , 
 Bourke LGA, Persons, 2006 and 2016, 15-44, ,"1,335", ,"1,033", , , , 
 Bourke LGA, Persons, 2006 and 2016, 45-64, ,711, ,741, , , , 
 Bourke LGA, Persons, 2006 and 2016, 65+, ,315, ,380, , , , 
 Bourke LGA, Persons, 2006 and 2016, All ages, ,"3,185", ,"2,787", , , , 
 Bourke LGA, Persons, 2011 and 2016, 0-14, , ,755,633, , , , 
 Bourke LGA, Persons, 2011 and 2016, 15-44, , ,"1,227","1,033", , , , 
 Bourke LGA, Persons, 2011 and 2016, 45-64, , ,725,741, , , , 
 Bourke LGA, Persons, 2011 and 2016, 65+, , ,346,380, , , , 
 Bourke LGA, Persons, 2011 and 2016, All ages, , ,"3,053","2,787", , , , 
 Bourke LGA, Persons, 2016 and 2021*, 0-14, , , ,633,756, , , 
 Bourke LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,033",974, , , 
 Bourke LGA, Persons, 2016 and 2021*, 45-64, , , ,741,795, , , 
 Bourke LGA, Persons, 2016 and 2021*, 65+, , , ,380,492, , , 
 Bourke LGA, Persons, 2016 and 2021*, All ages, , , ,"2,787","3,018", , , 
 Bourke LGA, Persons, 2016 and 2026*, 0-14, , , ,633, ,722, , 
 Bourke LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,033", ,955, , 
 Bourke LGA, Persons, 2016 and 2026*, 45-64, , , ,741, ,765, , 
 Bourke LGA, Persons, 2016 and 2026*, 65+, , , ,380, ,586, , 
 Bourke LGA, Persons, 2016 and 2026*, All ages, , , ,"2,787", ,"3,028", , 
 Bourke LGA, Persons, 2016 and 2031*, 0-14, , , ,633, , ,675, 
 Bourke LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,033", , ,951, 
 Bourke LGA, Persons, 2016 and 2031*, 45-64, , , ,741, , ,757, 
 Bourke LGA, Persons, 2016 and 2031*, 65+, , , ,380, , ,670, 
 Bourke LGA, Persons, 2016 and 2031*, All ages, , , ,"2,787", , ,"3,053", 
 Bourke LGA, Persons, 2016 and 2036*, 0-14, , , ,633, , , ,663
 Bourke LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,033", , , ,932
 Bourke LGA, Persons, 2016 and 2036*, 45-64, , , ,741, , , ,755
 Bourke LGA, Persons, 2016 and 2036*, 65+, , , ,380, , , ,745
 Bourke LGA, Persons, 2016 and 2036*, All ages, , , ,"2,787", , , ,"3,095"
 Brewarrina LGA, Persons, 2001 and 2016, 0-14,607, , ,386, , , , 
 Brewarrina LGA, Persons, 2001 and 2016, 15-44,974, , ,652, , , , 
 Brewarrina LGA, Persons, 2001 and 2016, 45-64,387, , ,522, , , , 
 Brewarrina LGA, Persons, 2001 and 2016, 65+,180, , ,165, , , , 
 Brewarrina LGA, Persons, 2001 and 2016, All ages,"2,148", , ,"1,725", , , , 
 Brewarrina LGA, Persons, 2006 and 2016, 0-14, ,533, ,386, , , , 
 Brewarrina LGA, Persons, 2006 and 2016, 15-44, ,884, ,652, , , , 
 Brewarrina LGA, Persons, 2006 and 2016, 45-64, ,401, ,522, , , , 
 Brewarrina LGA, Persons, 2006 and 2016, 65+, ,186, ,165, , , , 
 Brewarrina LGA, Persons, 2006 and 2016, All ages, ,"2,004", ,"1,725", , , , 
 Brewarrina LGA, Persons, 2011 and 2016, 0-14, , ,491,386, , , , 
 Brewarrina LGA, Persons, 2011 and 2016, 15-44, , ,715,652, , , , 
 Brewarrina LGA, Persons, 2011 and 2016, 45-64, , ,486,522, , , , 
 Brewarrina LGA, Persons, 2011 and 2016, 65+, , ,182,165, , , , 
 Brewarrina LGA, Persons, 2011 and 2016, All ages, , ,"1,874","1,725", , , , 
 Brewarrina LGA, Persons, 2016 and 2021*, 0-14, , , ,386,504, , , 
 Brewarrina LGA, Persons, 2016 and 2021*, 15-44, , , ,652,633, , , 
 Brewarrina LGA, Persons, 2016 and 2021*, 45-64, , , ,522,489, , , 
 Brewarrina LGA, Persons, 2016 and 2021*, 65+, , , ,165,286, , , 
 Brewarrina LGA, Persons, 2016 and 2021*, All ages, , , ,"1,725","1,913", , , 
 Brewarrina LGA, Persons, 2016 and 2026*, 0-14, , , ,386, ,490, , 
 Brewarrina LGA, Persons, 2016 and 2026*, 15-44, , , ,652, ,614, , 
 Brewarrina LGA, Persons, 2016 and 2026*, 45-64, , , ,522, ,438, , 
 Brewarrina LGA, Persons, 2016 and 2026*, 65+, , , ,165, ,363, , 
 Brewarrina LGA, Persons, 2016 and 2026*, All ages, , , ,"1,725", ,"1,906", , 
 Brewarrina LGA, Persons, 2016 and 2031*, 0-14, , , ,386, , ,464, 
 Brewarrina LGA, Persons, 2016 and 2031*, 15-44, , , ,652, , ,584, 
 Brewarrina LGA, Persons, 2016 and 2031*, 45-64, , , ,522, , ,404, 
 Brewarrina LGA, Persons, 2016 and 2031*, 65+, , , ,165, , ,428, 
 Brewarrina LGA, Persons, 2016 and 2031*, All ages, , , ,"1,725", , ,"1,881", 
 Brewarrina LGA, Persons, 2016 and 2036*, 0-14, , , ,386, , , ,441
 Brewarrina LGA, Persons, 2016 and 2036*, 15-44, , , ,652, , , ,538
 Brewarrina LGA, Persons, 2016 and 2036*, 45-64, , , ,522, , , ,397
 Brewarrina LGA, Persons, 2016 and 2036*, 65+, , , ,165, , , ,465
 Brewarrina LGA, Persons, 2016 and 2036*, All ages, , , ,"1,725", , , ,"1,841"
 Broken Hill LGA, Persons, 2001 and 2016, 0-14,"4,314", , ,"3,092", , , , 
 Broken Hill LGA, Persons, 2001 and 2016, 15-44,"7,874", , ,"6,144", , , , 
 Broken Hill LGA, Persons, 2001 and 2016, 45-64,"5,070", , ,"4,994", , , , 
 Broken Hill LGA, Persons, 2001 and 2016, 65+,"3,671", , ,"3,797", , , , 
 Broken Hill LGA, Persons, 2001 and 2016, All ages,"20,929", , ,"18,027", , , , 
 Broken Hill LGA, Persons, 2006 and 2016, 0-14, ,"3,883", ,"3,092", , , , 
 Broken Hill LGA, Persons, 2006 and 2016, 15-44, ,"6,856", ,"6,144", , , , 
 Broken Hill LGA, Persons, 2006 and 2016, 45-64, ,"5,347", ,"4,994", , , , 
 Broken Hill LGA, Persons, 2006 and 2016, 65+, ,"3,667", ,"3,797", , , , 
 Broken Hill LGA, Persons, 2006 and 2016, All ages, ,"19,753", ,"18,027", , , , 
 Broken Hill LGA, Persons, 2011 and 2016, 0-14, , ,"3,458","3,092", , , , 
 Broken Hill LGA, Persons, 2011 and 2016, 15-44, , ,"6,573","6,144", , , , 
 Broken Hill LGA, Persons, 2011 and 2016, 45-64, , ,"5,395","4,994", , , , 
 Broken Hill LGA, Persons, 2011 and 2016, 65+, , ,"3,725","3,797", , , , 
 Broken Hill LGA, Persons, 2011 and 2016, All ages, , ,"19,151","18,027", , , , 
 Broken Hill LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,092","3,248", , , 
 Broken Hill LGA, Persons, 2016 and 2021*, 15-44, , , ,"6,144","5,863", , , 
 Broken Hill LGA, Persons, 2016 and 2021*, 45-64, , , ,"4,994","4,681", , , 
 Broken Hill LGA, Persons, 2016 and 2021*, 65+, , , ,"3,797","4,425", , , 
 Broken Hill LGA, Persons, 2016 and 2021*, All ages, , , ,"18,027","18,217", , , 
 Broken Hill LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,092", ,"3,131", , 
 Broken Hill LGA, Persons, 2016 and 2026*, 15-44, , , ,"6,144", ,"5,571", , 
 Broken Hill LGA, Persons, 2016 and 2026*, 45-64, , , ,"4,994", ,"4,102", , 
 Broken Hill LGA, Persons, 2016 and 2026*, 65+, , , ,"3,797", ,"4,812", , 
 Broken Hill LGA, Persons, 2016 and 2026*, All ages, , , ,"18,027", ,"17,617", , 
 Broken Hill LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,092", , ,"2,927", 
 Broken Hill LGA, Persons, 2016 and 2031*, 15-44, , , ,"6,144", , ,"5,175", 
 Broken Hill LGA, Persons, 2016 and 2031*, 45-64, , , ,"4,994", , ,"3,852", 
 Broken Hill LGA, Persons, 2016 and 2031*, 65+, , , ,"3,797", , ,"4,969", 
 Broken Hill LGA, Persons, 2016 and 2031*, All ages, , , ,"18,027", , ,"16,924", 
 Broken Hill LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,092", , , ,"2,710"
 Broken Hill LGA, Persons, 2016 and 2036*, 15-44, , , ,"6,144", , , ,"4,749"
 Broken Hill LGA, Persons, 2016 and 2036*, 45-64, , , ,"4,994", , , ,"3,716"
 Broken Hill LGA, Persons, 2016 and 2036*, 65+, , , ,"3,797", , , ,"4,970"
 Broken Hill LGA, Persons, 2016 and 2036*, All ages, , , ,"18,027", , , ,"16,145"
 Burwood LGA, Persons, 2001 and 2016, 0-14,"5,057", , ,"4,993", , , , 
 Burwood LGA, Persons, 2001 and 2016, 15-44,"14,305", , ,"19,985", , , , 
 Burwood LGA, Persons, 2001 and 2016, 45-64,"6,646", , ,"8,093", , , , 
 Burwood LGA, Persons, 2001 and 2016, 65+,"4,385", , ,"5,424", , , , 
 Burwood LGA, Persons, 2001 and 2016, All ages,"30,393", , ,"38,495", , , , 
 Burwood LGA, Persons, 2006 and 2016, 0-14, ,"4,866", ,"4,993", , , , 
 Burwood LGA, Persons, 2006 and 2016, 15-44, ,"15,504", ,"19,985", , , , 
 Burwood LGA, Persons, 2006 and 2016, 45-64, ,"7,113", ,"8,093", , , , 
